	Папка	Книга	Лист	Строка в исходнике	№ п/п	Номер вагона / контейнера	Тип	Станция / пункт предоставления	Дата предоставления	Страна назначения	Погран переход / порт назначения (при скв. сервис)	Прибытие на погран переход	Станция / пункт возврата	Дата возврата / дата окончания периода учета
0	Исходники\2022	Зарубеж_03_2022.xlsx	Экспорт	4								2022-03-01 00:00:00		
1	Исходники\2022	Зарубеж_03_2022.xlsx	Экспорт	5	1	2	3	5	6	7	8	9	10	11
2	Исходники\2022	Зарубеж_03_2022.xlsx	Экспорт	6	1	TKRU4001890	40	БРАТСК	2017-06-21 00:00:00	КИТАЙ	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	2017-06-30 00:00:00	не возращен	2022-03-31 00:00:00
3	Исходники\2022	Зарубеж_03_2022.xlsx	Экспорт	7	2	TKRU4010742	40	БРАТСК	2017-06-21 00:00:00	КИТАЙ	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	2017-06-30 00:00:00	не возращен	2022-03-31 00:00:00
4	Исходники\2022	Зарубеж_03_2022.xlsx	Экспорт	8	3	TKRU4041300	40	БРАТСК	2017-06-29 00:00:00	КИТАЙ	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	2017-07-06 00:00:00	не возращен	2022-03-31 00:00:00
5	Исходники\2022	Зарубеж_03_2022.xlsx	Экспорт	9	4	TKRU4002515	40	БРАТСК	2017-06-30 00:00:00	КИТАЙ	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	2017-07-13 00:00:00	не возращен	2022-03-31 00:00:00
